"","Murder","Assault","UrbanPop","Rape","ten.times.more"
"Alabama",13.2,236,58,21.2,TRUE
"Alaska",10,263,48,44.5,TRUE
"Arizona",8.1,294,80,31,TRUE
"Arkansas",8.8,190,50,19.5,TRUE
"California",9,276,91,40.6,TRUE
"Colorado",7.9,204,78,38.7,TRUE
"Connecticut",3.3,110,77,11.1,TRUE
"Delaware",5.9,238,72,15.8,TRUE
"Florida",15.4,335,80,31.9,TRUE
"Georgia",17.4,211,60,25.8,TRUE
"Hawaii",5.3,46,83,20.2,FALSE
"Idaho",2.6,120,54,14.2,TRUE
"Illinois",10.4,249,83,24,TRUE
"Indiana",7.2,113,65,21,TRUE
"Iowa",2.2,56,57,11.3,TRUE
"Kansas",6,115,66,18,TRUE
"Kentucky",9.7,109,52,16.3,TRUE
"Louisiana",15.4,249,66,22.2,TRUE
"Maine",2.1,83,51,7.8,TRUE
"Maryland",11.3,300,67,27.8,TRUE
"Massachusetts",4.4,149,85,16.3,TRUE
"Michigan",12.1,255,74,35.1,TRUE
"Minnesota",2.7,72,66,14.9,TRUE
"Mississippi",16.1,259,44,17.1,TRUE
"Missouri",9,178,70,28.2,TRUE
"Montana",6,109,53,16.4,TRUE
"Nebraska",4.3,102,62,16.5,TRUE
"Nevada",12.2,252,81,46,TRUE
"New Hampshire",2.1,57,56,9.5,TRUE
"New Jersey",7.4,159,89,18.8,TRUE
"New Mexico",11.4,285,70,32.1,TRUE
"New York",11.1,254,86,26.1,TRUE
"North Carolina",13,337,45,16.1,TRUE
"North Dakota",0.8,45,44,7.3,TRUE
"Ohio",7.3,120,75,21.4,TRUE
"Oklahoma",6.6,151,68,20,TRUE
"Oregon",4.9,159,67,29.3,TRUE
"Pennsylvania",6.3,106,72,14.9,TRUE
"Rhode Island",3.4,174,87,8.3,TRUE
"South Carolina",14.4,279,48,22.5,TRUE
"South Dakota",3.8,86,45,12.8,TRUE
"Tennessee",13.2,188,59,26.9,TRUE
"Texas",12.7,201,80,25.5,TRUE
"Utah",3.2,120,80,22.9,TRUE
"Vermont",2.2,48,32,11.2,TRUE
"Virginia",8.5,156,63,20.7,TRUE
"Washington",4,145,73,26.2,TRUE
"West Virginia",5.7,81,39,9.3,TRUE
"Wisconsin",2.6,53,66,10.8,TRUE
"Wyoming",6.8,161,60,15.6,TRUE
